Time,Data
0.0,-0.27681542811025933
0.004,-0.30833633359754503
0.008,-0.29583887127396236
0.012,-0.31632365962901154
0.016,-0.32679132099903613
0.02,-0.32624248135324
0.024,-0.32667777007870324
0.028,-0.31109781976448253
0.032,-0.3115032659848655
0.036,-0.2758947470818757
0.04,-0.3232729039470944
0.044,-0.25363837980289605
0.048,-0.300991819983163
0.052,-0.31733387171358113
0.056,-0.34266518389157863
0.06,-0.2929864068660034
0.064,-0.26229819221661654
0.068,-0.26660119253348263
0.072,-0.2538960611963409
0.076,-0.23918345215404055
0.08,-0.22946401970411384
0.084,-0.2457384182725827
0.088,-0.24600730219406028
0.092,-0.1902713254922521
0.096,-0.20053114166091474
0.1,-0.20078740344536794
0.104,-0.16004076262463396
0.108,-0.14229186979428507
0.112,-0.14454137415007565
0.116,-0.1417899232724465
0.12,-0.16403816291196305
0.124,-0.12428673677578898
0.128,-0.13053628631524722
0.132,-0.12278745051456776
0.136,-0.08304086568087822
0.14,-0.1102971652355328
0.144,-0.1025569795068365
0.148,-0.09282093552425161
0.152,-0.10008965681415422
0.156,-0.12736376319721537
0.16,-0.12164387058747843
0.164,-0.1789305907932039
0.168,-0.14122453131955534
0.172,-0.13852629517318935
0.176,-0.11383648066882755
0.18,-0.09015568123787067
0.184,-0.117484485239127
0.188,-0.13082347577171774
0.192,-0.10317323049022961
0.196,-0.10553432142217327
0.2,-0.057907314787813066
0.204,-0.052292770822434595
0.208,-0.06469124360110225
0.212,-0.022103280865977838
0.216,0.01847057614375188
0.22,0.01802979285926975
0.224,0.04557384154679697
0.228,0.12610220146947443
0.232,0.24561435904640763
0.236,0.4661098080088137
0.24,0.7435880495532274
0.244,1.1360485924917092
0.248,1.5134909533990089
0.252,1.9329146567566318
0.256,2.2773192350937688
0.26,2.517704229125034
0.264,2.4530691878849775
0.268,2.172413668859315
0.272,1.6747372381128465
0.276,1.1550394704140186
0.28,0.7163199493560869
0.284,0.319578267474846
0.288,0.06181402636289138
0.292,-0.011973163219626902
0.296,-0.061783681237787325
0.3,-0.09661789827825162
0.304,-0.01947617544922025
0.308,-0.06835886428401779
0.312,-0.07626630664833717
0.316,-0.10819883465116971
0.32,-0.12415677055944147
0.324,-0.14414042671638483
0.328,-0.13515010546366207
0.332,-0.12618609906726538
0.336,-0.11924868964720861
0.34,-0.1493381491110323
0.344,-0.16545473909113173
0.348,-0.17559871088592757
0.352,-0.17377030540489113
